,url,label,result,@,?,-,=,.,#,%,+,$,!,*,",",//,HasHostname,IsHttps,numberCount,alphabetCount,shortUrl,ipAddress,ageLess12Mon,endLess6Mon,hasIfram,hasMouseOver,disabledRightClick,isMultiDirected
0,https://www.heraldtribune.com/article/20110920/ARTICLE/110929978,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,17,38,0,0,1,1,0,0,1,0
1,https://www.ssrsi.org/Family/educate/US/nah12.htm,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,2,37,0,0,1,1,0,0,1,0
2,https://www.andrewcusack.com/2008/09/29/petit-seminaire/,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,1,8,37,0,0,1,1,0,0,1,0
3,https://www.spoke.com/info/p6JJ2u1/HeatherReisman,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,3,38,0,0,1,1,0,0,1,0
4,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=20200,0,0,0,1,0,1,3,0,0,0,0,0,0,0,1,1,1,5,42,0,0,1,1,0,0,1,0
5,https://www.youtube.com/watch?v=CGybvZ7y_ZU,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,1,1,1,33,0,0,1,1,0,0,1,0
6,https://www.twinpalms.com/?p=limited_editions&bookID=68,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,1,1,2,42,0,0,1,1,0,0,1,0
7,https://www.baaa-acro.com/Compagnies%20M/Mohawk%20Airlines.htm,0,0,0,0,1,0,3,0,2,0,0,0,0,0,1,1,1,4,47,0,0,1,1,0,0,1,0
8,https://www.airlinercafe.com/,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,23,0,0,1,1,1,1,1,1
9,https://www.guitarworld.com/311-release-new-album-universal-pulse-july,0,0,0,0,6,0,2,0,0,0,0,0,0,0,1,1,1,3,55,0,0,1,1,0,0,1,0
10,https://www.experiencenz.com/new-zealand-information.cfm,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,1,1,0,47,0,0,1,1,1,1,1,1
11,https://www.eternalsunshinemsj.blogspot.com/,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,0,37,1,0,1,1,1,1,1,1
12,https://www.kat.ph/braids-native-speaker-2011-flac-t5250308.html,0,0,0,0,5,0,3,0,0,0,0,0,0,0,1,1,1,11,41,0,0,1,1,1,1,1,1
13,https://www.outsourcing.computer4u.in.th/,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,1,1,32,0,0,1,1,1,1,1,1
14,https://www.twitter.com/MMG_Works,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,26,0,0,1,1,0,0,1,0
15,https://www.infowars.com/declassified-911-u-s-secret-service-foia-records-describing-activity-of-president-bush-vp-cheney/,0,0,0,0,14,0,2,0,0,0,0,0,0,0,1,1,1,3,98,0,0,1,1,0,0,1,0
16,https://www.pics.smashits.com/shahana-goswami-navel.html,0,0,0,0,2,0,4,0,0,0,0,0,0,0,1,1,1,0,46,0,0,1,1,1,1,1,1
17,https://www.canadianfighters.com/patrick-cote.html,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,1,1,0,42,0,0,1,1,0,0,1,0
18,https://www.youtube.com/watch?v=Y_MD7CsNyYk,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,1,1,1,33,0,0,1,1,0,0,1,0
19,https://www.michaelgodinez.blogspot.com/,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,0,33,1,0,1,1,1,1,1,1
20,https://www.mezmersociety.com/,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,24,0,0,1,1,1,1,1,1
21,https://www.thecanadianencyclopedia.com/index.cfm?PgNm=TCE&Params=A1ARTA0008710,0,0,0,1,0,2,3,0,0,0,0,0,0,0,1,1,1,8,60,0,0,1,1,1,1,1,1
22,https://www.vallejosearch.com/vallejo_kbay.htm,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,0,38,0,0,1,1,0,0,1,0
23,https://www.publishing.cdlib.org/ucpressebooks/view?docId=ft638nb3db&chunk.id=d0e13621&toc.id=&brand=eschol,0,0,0,1,0,4,5,0,0,0,0,0,0,0,1,1,1,10,79,0,0,1,1,1,1,1,1
24,https://www.cybevasion.com/hotels/france/hotels_saint-germain-en-laye_34021.html,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,1,1,5,61,0,0,1,1,1,1,1,1
25,https://www.facebook.com/robert.archambault,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,0,36,0,0,1,1,0,0,1,0
26,https://www.mirandabooks.com/,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,23,0,0,1,1,0,0,1,0
27,https://www.circleoffifths.com/,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,25,0,0,1,1,0,0,1,0
28,https://www.totalmartialartscenter.com/,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,33,0,0,1,1,1,1,1,1
29,https://www.canada.com/theprovince/news/sports/story.html?id=ba2e07da-0dbe-494b-a39f-af558fc45099,0,0,0,1,4,1,3,0,0,0,0,0,0,0,1,1,1,17,64,0,0,1,1,1,1,1,1
30,https://www.comfibook.com/n/Francois+Duchesneau,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,1,0,39,0,0,1,1,1,1,1,1
31,https://www.fanbase.com/Robert-Geigel,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,1,0,30,0,0,1,1,0,0,1,1
32,https://www.ussvincennes.org/,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,23,0,0,1,1,1,1,1,1
33,https://www.newsok.com/oklahoma-county-land-sales/article/3624464,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,1,1,7,47,0,0,1,1,1,1,1,1
34,https://www.sportsbuy.com/hockey/maurice-richard-cards-autographs.html,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,1,1,0,59,0,0,1,1,1,1,1,1
35,https://www.facebook.com/SMLive,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,25,0,0,1,1,0,0,1,0
36,https://www.facebook.com/people/Marshall-Dean/100000732189408,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,1,15,37,0,0,1,1,0,0,1,0
37,https://www.canadaonline.about.com/cs/historywomen/p/hedwards.htm,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,1,0,54,1,0,1,1,1,1,1,1
38,https://www.airforce.uconn.edu/,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,0,24,0,0,1,1,0,0,1,0
39,https://www.talk.collegeconfidential.com/university-minnesota-twin-cities/,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,1,1,0,63,0,0,1,1,1,1,1,1
40,https://www.boorek.com/the-american-2010/,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,1,4,28,0,0,1,1,1,1,1,1
41,https://www.youtube.com/watch?v=pdqRNUSaj5w,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,1,1,1,34,0,0,1,1,0,0,1,0
42,https://www.landscaping-companies.com/in/west-virginia,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,1,0,45,0,0,1,1,1,0,1,0
43,https://www.spcmoray.com/property.php?id=7977,0,0,0,1,0,1,3,0,0,0,0,0,0,0,1,1,1,4,32,0,0,1,1,1,1,1,1
44,https://www.openlibrary.org/books/OL14710429M/Le_drapeau_canadien,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,8,47,0,0,1,1,0,0,1,1
45,https://www.en.wikipedia.org/wiki/Mark_Spoelstra,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,0,39,0,0,1,1,1,1,1,1
46,https://www.en.wikipedia.org/wiki/Bob_Errey,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,0,34,0,0,1,1,1,1,1,1
47,https://www.galaxgazette.com/content/mountains-salt-lake,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,1,0,47,0,0,1,1,0,0,1,0
48,https://www.davekingmanfan.com/1985.htm,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,4,28,0,0,1,1,1,1,1,1
49,https://www.customaniacs.org/forum/custom-covers/114512-abandoned.html,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,1,1,6,53,0,0,1,1,0,0,1,0
50,https://www.forums.redflagdeals.com/air-canada-20-off-tango-tango-plus-fares-select-destinations-796884/,0,0,0,0,10,0,3,0,0,0,0,0,0,0,1,1,1,8,78,0,0,1,1,1,1,1,1
51,https://www.portstanley.net/2011-canadian-soling-championship-regatta-coming-to-port-stanley,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1,1,1,4,74,0,0,1,1,0,0,1,0
52,https://www.snowcaptraffic.com/records/nellie,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,38,0,0,1,1,1,1,1,1
53,https://www.petitionspot.com/petitions/hkennett/,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,40,1,0,1,1,1,1,1,1
54,https://www.himado.in,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,16,0,0,1,1,1,1,1,1
55,https://www.local.yahoo.com/info-77943896-labrecque-property-management-llc-sabattus,0,0,0,0,6,0,3,0,0,0,0,0,0,0,1,1,1,8,63,0,0,1,1,1,1,1,1
56,https://www.myspace.com/michellemeldrum,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,33,0,0,1,1,0,0,1,0
